id,task,win,startf,posx_mean,posx_std,posy_mean,posy_std,eyex_mean,eyex_std,eyey_mean,eyey_std,eyexpos_corr,eyeypos_corr,path_total,path_speed,path_speed_sd,straightness,
103,1,40,21816,6.3443,2.739,9.1324,3.4498,47.2252,15.0922,27.1998,8.4349,0.48738,0.26276,12.3085,1.2309,0.052663,1.0005,
103,1,41,21966,7.4159,3.0545,6.8369,3.7797,51.2773,15.2768,25.1469,6.7703,0.36931,0.18573,11.5765,1.1577,0.049748,1.0001,
103,1,42,22116,9.991,3.6713,4.1429,3.3813,55.9879,14.1019,24.4039,6.9778,0.084987,0.012422,11.7298,1.173,0.080633,1.0018,
103,1,43,22266,10.4766,4.7838,2.2621,3.0907,55.3611,13.5935,23.4477,7.2058,0.21694,-0.22271,11.7316,1.1732,0.076327,1.0023,
103,1,44,22416,6.7503,6.114,2.4506,2.9497,50.1664,14.1836,23.5676,6.488,0.58215,-0.21219,11.2412,1.1241,0.062804,1.0011,
103,1,45,22566,4.2655,3.7703,4.0364,2.111,46.5514,12.2694,27.2322,7.694,0.59551,0.12445,12.0502,1.205,0.1029,1.0008,
103,1,46,22716,5.884,1.7851,6.8605,3.8962,47.5119,9.5692,29.5251,7.4878,0.39082,0.036859,12.9842,1.2984,0.047368,1.0009,
103,1,47,22866,6.2183,2.0176,8.5596,4.3855,51.0758,10.4803,30.972,9.3318,0.35901,0.13317,12.7728,1.2773,0.055535,1.0008,
103,1,48,23016,6.6868,1.9426,4.0562,5.7405,51.5959,12.5312,27.5202,10.2912,0.37575,-0.030941,11.8484,1.1848,0.072248,1.0016,
103,1,49,23166,9.027,2.8414,-0.21441,2.9106,50.1608,14.8957,23.1898,7.9488,0.45127,-0.030564,11.2889,1.1289,0.042274,1.0067,
103,1,50,23316,11.5414,3.0178,-1.0988,2.5241,52.7151,17.2287,23.2184,8.5647,0.38216,-0.18516,10.9773,1.0977,0.051488,1.0074,
103,1,51,23466,10.1623,3.8103,-1.2082,2.3804,54.6792,15.8945,22.1601,5.859,0.29021,0.06331,10.9076,1.0908,0.067216,1.0031,
103,1,52,23616,6.033,11.8418,2.6009,4.211,49.5146,21.1734,27.0761,8.2373,0.69726,-0.01815,10.5135,1.0514,0.10959,1.0018,
103,1,53,23766,11.8266,17.6281,8.2137,6.8755,52.6096,26.2694,32.7953,10.4388,0.82814,-0.23801,8.7949,0.87949,0.14478,1.189,
103,2,1,34449,-4.7483,9.2079,1.6012,3.8148,36.2594,15.9627,23.3186,4.547,0.60352,-0.7421,10.0744,1.0074,0.56117,1.0479,
103,2,2,34599,-0.30502,3.1449,3.7242,1.4038,45.1785,14.6215,21.2027,2.5394,-0.0688,-0.015979,14.2784,1.4278,0.1342,1.0044,
103,2,3,34749,-1.6503,1.93,3.8028,1.3065,50.1676,14.2458,22.0451,3.384,0.33995,-0.28143,13.2618,1.3262,0.11983,1.0019,
103,2,4,34899,-0.88787,1.7604,2.7662,1.2939,51.8698,12.5528,23.6825,3.6529,0.13253,-0.26707,12.7997,1.28,0.13788,1.0011,
103,2,5,35049,-0.34055,2.0018,2.3096,1.2814,43.2465,16.2295,26.0449,3.7907,0.11748,-0.27983,12.7973,1.2797,0.1052,1.0019,
103,2,6,35199,0.93942,2.4049,3.7186,2.0436,42.5338,17.7038,28.3724,6.9087,0.61077,-0.29349,14.1439,1.4144,0.1058,1.0033,
103,2,7,35349,2.8428,2.2254,5.6035,1.7967,56.9106,15.7196,27.6423,7.507,0.25462,-0.29961,15.2648,1.5265,0.033617,1.0006,
103,2,8,35499,3.4532,1.7643,6.0906,1.3348,58.3966,16.2309,26.0292,4.1687,0.18058,0.17884,14.9492,1.4949,0.056342,1.0007,
103,2,9,35649,1.6396,3.2631,5.5419,1.2675,53.4505,19.8768,27.2492,4.2655,0.60481,-0.26099,13.8061,1.3806,0.08136,1.0008,
