Participant,Left Top SEARCHINGCAL,error1,Right Top SEARCHINGCAL,error2,Center SEARCHINGCAL,error3,Left Bottom SEARCHINGCAL,error4,Right Bottom SEARCHINGCAL,error5,Left Top POSTSTUDYCAL,error1_pst,Right Top POSTSTUDYCAL,error2_pst,Center POSTSTUDYCAL,error3_pst,left_bottom_post,error4_pst,Right Bottom POSTSTUDYCAL,error5_pst
53,20573-20578,3.3092,21484-21489,1.6759,19081-19086,3.5221,20763-20768,4.1384,21396-21401,1.6759,47726-47731,2.7363,48644-48649,1.9866,45988-45993,2.8784,47860-47865,3.2437,48548-48553,1.85
54,18186-18191,2.9485,18614-18619,1.8791,17797-17802,1.8761,19367-19372,3.673,19911-19916,3.4896,43313-43318,2.0134,43676-43684,2.3271,42921-42926,4.7272,44426-44431,4.0204,44925-44930,4.0682
55,22290-22295,5.5104,22732-22736,4.3727,20698-20703,1.7752,21109-21114,1.9461,21616-21621,3.9656,47286-47291,1.9975,47855-47860,4.4371,45555-45560,4.6372,45948-45953,1.307,46515-46520,1.768
56,18459-18464,3.36,18915-18920,3.8416,18029-18034,1.8182,19760-19765,5.7977,20309-20314,1.932,37445-37450,2.3095,37821-37826,5.415,37095-37100,3.9024,37451-37456,3.8281,39020-39025,5.8007
57,22814-22819,2.9332,23854-23859,2.0072,22257-22262,2.3759,22891-22896,2.1348,23741-23746,4.0222,48573-48578,3.9324,49470-49475,4.1433,46830-46835,6.0501,48702-48707,2.1947,49364-49369,4.1283
58,21769-21774,1.1169,22698-22703,3.7811,21358-21363,1.5204,21882-21887,1.8464,22592-22597,1.9423,48180-48185,3.6203,49165-49170,3.4322,47810-47815,1.7567,48302-48307,2.6891,49096-49101,3.5277
59,24455-24460,3.9737,25264-25269,3.294,24071-24076,1.6552,24573-24578,4.014,25160-25165,2.1085,46520-46525,1.8759,47434-47439,3.2823,46112-46117,3.8078,46622-46627,1.7771,47278-47283,2.0428
60,20659-20664,4.736,21490-21495,3.2265,20322-20327,2.4201,20792-20797,2.7549,21415-21420,1.5104,41834-41839,4.3731,42511-42516,1.0835,41609-41614,2.8339,41945-41950,2.7791,42436-42441,1.8761
61,20386-20391,2.3344,21396-21401,4.7172,20156-20161,2.2738,20625-20630,3.0985,21296-21301,2.7144,47012-47017,2.7944,47682-47687,1.17,46727-46732,4.5422,47075-47080,1.6613,47580-47585,1.9746
62,19370-19375,4.048,20040-20045,5.3462,19069-19074,3.8403,19459-19464,2.4545,19960-19665,3.3675,40512-40517,1.1123,41254-41259,2.5557,40202-40207,4.2563,40640-40645,1.5639,41169-41174,1.8554
63,18760-18765,1.72,19563-19568,3.0618,18313-18318,1.2985,18854-18859,1.0478,19323-19328,1.1176,43490-43495,1.4483,44240-44245,1.2704,43125-43130,1.6558,43577-43582,1.8717,44124-44129,2.3973
64,20953-20958,3.8648,22091-22096,4.4811,19544-19549,1.2917,21191-21196,2.933,22008-22013,4.3082,41372-41377,5.8995,42280-42285,1.8941,40995-41000,1.8149,41484-41489,2.0156,42205-42210,1.3211
66,19612-19517,2.413,20420-20425,2.504,19171-19176,1.6839,19643-19648,2.2127,20328-20333,1.9709,45900-45905,3.51,46602-46607,1.2415,44504-44509,2.0517,46020-46025,1.6887,46529-46534,2.6051
67,17036-17041,4.711,17505-17510,3.6275,17811-17816,4.8966,18287-18292,1.5263,18824-18829,5.3742,34364-34369,2.2788,34812-34817,1.5967,34008-34013,5.5577,35436-35441,1.578,35883-35888,3.2808
68,19356-19361,2.7655,18726-18731,4.6417,19000-19005,3.0439,19344-19349,2.8206,19768-19773,3.9787,38708-38713,3.7914,39154-39159,1.3834,39529-39534,2.3811,39901-39906,1.5684,40336-40341,1.7605
69,20444-20449,5.8254,21251-21256,5.0644,20112-20117,1.955,20546-20551,1.2362,21160-21165,1.3899,51097-51102,1.32,52046-52051,1.353,50635-50640,4.4483,51207-51212,1.8268,51951-51956,4.0114
70,19758-19763,4.1121,20655-20660,2.0555,19617-19622,1.1899,20104-20109,2.6352,20450-20455,1.5867,43292-43297,4.8048,44342-44347,2.3506,43077-43082,1.9465,43682-43687,2.2549,,
71,30118-30122,2.0437,30784-30789,1.8984,29958-29963,2.7736,30289-30294,4.2646,30682-30687,1.0003,30174-30179,6.9702,52923-52928,5.6979,52122-52127,3.6478,52475-52480,4.0355,52866-52871,5.849
72,18943-18948,5.5494,19702-19707,3.1681,18741-18746,1.9242,19157-19162,4.017,19629-19634,1.4073,44907-44912,4.7897,45680-45685,1.5736,44686-44691,4.9194,45124-45129,2.0205,45579-45584,1.2057
73,17414-17419,4.6289,18207-18212,5.933,17214-17219,3.8938,17631-17636,4.3616,18135-18140,3.4561,39321-39326,4.9065,40050-40055,1.2618,39105-39110,4.1213,39452-39457,2.1009,39900-39905,2.4371
74,22845-22850,5.6478,23797-23802,4.8822,21447-21452,3.0677,23185-23190,4.4495,23728-23733,3.7411,51011-51016,6.2485,52180-52185,4.1456,50818-50823,2.6023,51540-51545,3.9865,51979-51984,3.0969
75,18992-18997,5.7659,20088-20093,3.4482,18688-18693,2.097,19299-19303,1.9786,19989-19994,3.4752,42883-42888,5.5295,44382-44387,2.944,42419-42424,3.5517,43384-43389,3.7755,44303-44308,1.811
76,21162-21167,3.4503,21946-21951,2.965,19857-19862,2.8682,21372-21377,2.1295,21875-21880,3.6426,46547-46552,2.4548,47411-47416,2.4499,46302-46307,6.2083,46547-46552,2.3245,47311-47316,1.9366
77,19430-19435,2.4322,20248-20253,1.362,19251-19256,3.9907,19614-19619,3.9958,19955-19960,2.6383,44277-44282,3.3014,45063-45068,2.7132,44097-44102,3.077,44543-44548,3.5174,44885-44890,2.9731
